Workout DateTime,Program,Day Name,Exercise,Is Warmup Set?,Required Reps,Completed Reps,Is AMRAP?,Required RPE,Completed RPE,Log RPE?,Required Weight Value,Required Weight Unit,Completed Weight Value,Completed Weight Unit,Ask Weight?,Completed Reps Time,Target Muscles,Synergist Muscles,Notes
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,"Romanian Deadlift, Leverage Machine",1,5,,0,,,0,42.5,kg,,,0,,Gluteus Maximus,"Adductor Magnus,Erector Spinae,Hamstrings",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,"Romanian Deadlift, Leverage Machine",1,5,,0,,,0,72.5,kg,,,0,,Gluteus Maximus,"Adductor Magnus,Erector Spinae,Hamstrings",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,"Romanian Deadlift, Leverage Machine",1,5,,0,,,0,115,kg,,,0,,Gluteus Maximus,"Adductor Magnus,Erector Spinae,Hamstrings",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,"Romanian Deadlift, Leverage Machine",0,12,9,0,,,0,145,kg,180,kg,0,2026-06-29T05:12:51.750Z,Gluteus Maximus,"Adductor Magnus,Erector Spinae,Hamstrings",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,"Romanian Deadlift, Leverage Machine",0,12,9,0,,,0,145,kg,180,kg,0,2026-06-29T05:18:16.235Z,Gluteus Maximus,"Adductor Magnus,Erector Spinae,Hamstrings",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,Belt Squat,1,5,,0,,,0,27.5,kg,,,0,,"Quadriceps,Gluteus Maximus","Hamstrings,Erector Spinae,Gastrocnemius,Soleus",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,Belt Squat,1,5,,0,,,0,45,kg,,,0,,"Quadriceps,Gluteus Maximus","Hamstrings,Erector Spinae,Gastrocnemius,Soleus",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,Belt Squat,1,5,,0,,,0,72.5,kg,,,0,,"Quadriceps,Gluteus Maximus","Hamstrings,Erector Spinae,Gastrocnemius,Soleus",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,Belt Squat,0,12,13,0,,,0,90,kg,110,kg,0,2026-06-29T04:59:24.683Z,"Quadriceps,Gluteus Maximus","Hamstrings,Erector Spinae,Gastrocnemius,Soleus",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,Belt Squat,0,12,13,0,,,0,90,kg,110,kg,0,2026-06-29T05:04:01.084Z,"Quadriceps,Gluteus Maximus","Hamstrings,Erector Spinae,Gastrocnemius,Soleus",
2026-06-29T04:56:39.712Z,UL Kraft+Hypertrophie (Mo-Mi-Fr-Sa),Sa: Lower Hypertrophie,Leg Extension,0,12,12,0,,,0,20,kg,50,kg,0,2026-06-29T05:25:45.066Z,Quadriceps,,
